serial_count,college_name,college_abbreviation,review,user_rating
149,Sardar Patel Institute of Technology,SPIT,SPIT is a great college for Mechanical and Electrical Engineering. The campus is very beautiful and the faculty is very helpful.,4
1,SGTB Khalsa College,SGTB,SGTB Khalsa College is one of the premier educational institutions in India. It offers a wide range of courses and programs that cater to the needs of students from different backgrounds and interests. The college has a strong reputation for excellence in academics and has produced some of the most successful alumni in,4
13,C.S.I. College of Engineering and Technology,CSI,A good college in the engineering field.,4
80212,Govindram Seksaria Institute of Technology and Science,GSTS,It is a good college.You will get job in a good company.,4
29,"Government College of Engineering, Sangli","GCOE, Sangli","Overall it is a good college, but need to improve faculty.",4
1390,"Indian Institute of Management, Visakhapatnam",IIMV,IIM V is a great institute and has some of the best minds working there. The students are highly motivated and passionate about their work and are always eager to learn new things. The faculty members are highly knowledgeable and are always willing to help their students. I would highly recommend IIM V to anyone who is,5
12,"Shri Mauli University, Gadchiroli",Shri Mauli,"I want to give 10/10 stars to Shri Mauli University, Gadchiroli. I have just completed my post-graduation from this beautiful college and the experience has been amazing. The college has a well-equipped library with a vast collection of books, journals,",5
385763,Rajkiya Engineering College,REC,I am pursuing B.Tech in Rajkiya Engineering College. It is a good college and provides good education. Teachers are good and helpful. Infrastructure is also good. Overall it is a good college for engineering.,4
238917,Jaypee Institute of Information Technology,JIIT,"The college is excellent. The faculty is friendly, and are always ready to help. The placements are good. The college provides all the facilities.",4
204,Bharati Vidyapeeth\'s New Law College,BVNL,The college has given me a lot of learning experience. It has helped me to learn a lot of things. I am satisfied with the college and the faculty. The infrastructure of the college is good. The college has given me a lot of opportunities to grow and develop my skills.,4
